Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jamaica,JAM,-9.92032244889079,4.6014245042592,5.22151984737387,2.20006147154612
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,-4.14711889947692,2.55932023865617,0.954736937781391,1.67901952310368
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jordan,JOR,-1.10275188309046,3.65564191030398,2.64743616429071,2.67827153754409
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kazakhstan,KAZ,-2.49999999628,4.29999999729456,3.19999999970734,5.09999999973641
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kenya,KEN,-0.272766327438816,7.59048947333467,4.85998104287999,5.55587301319866
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kiribati,KIR,-0.562016449352072,8.52266121721455,3.90535280738948,4.12459054312031
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Dem. People's Rep.",PRK,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Rep.",KOR,-0.709415359397681,4.30473481906969,2.61267219187226,1.35673324311098
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kosovo,XKX,-5.34027547826166,10.7456560819583,4.27849895827543,4.06762701436438
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kuwait,KWT,-4.81742860622226,2.26080609815888,5.85920887270251,-3.64042590261035
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kyrgyz Republic,KGZ,-7.14897757727955,5.50700762671923,8.96750520041391,6.15139183716032
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lao PDR,LAO,0.503031829018681,2.52835100486102,2.70742652643155,3.74568140158232
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Latvia,LVA,-3.46922915339618,6.94723316214511,1.8126824022841,1.70679524969924
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lebanon,LBN,-21.3998996914321,-7.00123862514116,-0.621678970663112,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lesotho,LSO,-8.15595879914267,2.26671067006538,2.38778020186284,1.82662525852363
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Liberia,LBR,-2.98249127649473,4.98671283481617,4.80810517290655,4.68375688761311
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Libya,LBY,-29.4552967282824,28.3334624622298,-8.25163004105288,10.1558181770326
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Liechtenstein,LIE,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lithuania,LTU,0.0428140173486753,6.38001676204321,2.53752500887173,0.34226255222913
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Luxembourg,LUX,-0.909829798886719,7.16840198697749,1.38018589083207,-1.09572361576994
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Macao SAR, China",MAC,-54.3361546022371,23.535988887849,-19.6093363742205,75.0613769262435
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,North Macedonia,MKD,-4.68845000956652,4.51067949038222,2.75888415332967,2.07274977880975
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Madagascar,MDG,-7.13767162064489,5.73961573854336,3.99999999869678,3.80000000009488
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malawi,MWI,0.793596429787286,4.55829212016083,0.921115069005936,1.89245798756383
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malaysia,MYS,-5.45684658426701,3.31534954399166,8.86182187578046,3.55548715410509
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Maldives,MDV,-32.9088287752921,37.507870124321,13.8260895184139,4.72639189000989
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mali,MLI,-1.235450447077,3.05261356942125,3.47495171106735,4.65677599093294
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malta,MLT,-3.47468750932252,13.4603051960595,4.14788281601133,7.49851245937869
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Marshall Islands,MHL,-2.77288732394366,1.22227252150293,-1.11806797853311,-3.93487109905021
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mauritania,MRT,-0.360657384151068,0.742715395138262,6.79600510182286,6.50718719858594
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mauritius,MUS,-14.5465381490166,3.40379866177662,8.87988519700977,6.95828740328457
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mexico,MEX,-8.3540345574586,6.04848344290505,3.68911109348025,3.19998116598492
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Micronesia, Fed. Sts.",FSM,-1.9607843137255,2.8,-0.778210116731515,0.784313725490193
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Moldova,MDA,-8.27597831976949,13.9299997889786,-5.01548231924089,0.78324270969388
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Monaco,MCO,-13.2391048292108,22.2322155851208,11.0469394271752,5.04338259195359
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mongolia,MNG,-4.55775197583431,1.63676957736662,5.0327096366527,7.4221127615025
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Montenegro,MNE,-15.3068937570407,13.0434642521552,6.40668032879275,6.33769754243548
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Morocco,MAR,-7.17820744246774,8.15473889823681,1.52720357976111,3.40334130078834
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mozambique,MOZ,-1.21952250011192,2.37743572761507,4.36445074535436,5.43685912188634
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Myanmar,MMR,-9.04834717984643,-12.0163724829117,4.03749343593624,0.958446625192025
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Namibia,NAM,-8.10140201443319,3.60382919248703,5.34966408559102,4.159985754998
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nauru,NRU,1.98181949377276,7.20659466591439,3.02263627499464,0.590699675931191
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nepal,NPL,-2.3696206292072,4.838149614115,5.63131455871746,1.95254463264347
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Netherlands,NLD,-3.86795339323423,6.27683073230526,5.00723459045037,0.0745607216494903
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,New Caledonia,NCL,-2.40000000064407,-2.09999999762849,3.49999999631376,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,New Zealand,NZL,-0.424906457573115,4.54624763852878,2.7748426484212,0.733302171674978
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nicaragua,NIC,-1.75595289214087,10.3160912841791,3.75228475736668,4.56922317096145
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Niger,NER,3.55064109436891,1.38359636198477,11.9000000000277,2.49999999999999
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nigeria,NGA,-1.79425308274458,3.64718654072446,3.25168140827093,2.86021499108364
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Northern Mariana Islands,MNP,-29.0598290598291,4.96987951807229,16.6427546628408,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Norway,NOR,-1.2781717845226,3.90868677689417,3.00563516076298,0.479647246011822
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Oman,OMN,-3.37972052697999,2.5821749892893,9.5771061309605,1.3104401130721
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Pakistan,PAK,-1.27408744338709,6.51388575852702,4.7781068690358,-0.0396925228069165
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Palau,PLW,-5.99942585620028,-13.7938879740177,-1.31844903330447,1.87706979817723
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Panama,PAN,-17.8212299695008,16.4671249191559,10.769665870619,7.39930155626219
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Papua New Guinea,PNG,-3.16743204087665,-0.511353444150672,5.70758411822096,3.03570475499642
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Paraguay,PRY,-0.819785390971916,4.01673731780312,0.176038366132886,4.71412407945468
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Peru,PER,-10.9333065010382,13.3552295093079,2.72550021563363,-0.55018230632048
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Philippines,PHL,-9.5182947406494,5.71473313426225,7.58098212785563,5.54585117087767
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Poland,POL,-2.03556882399977,6.92718266052501,5.25545697386036,0.138832754787188
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Portugal,PRT,-8.20463206255478,5.55875752305435,6.98584193827881,2.52628110806764
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Puerto Rico,PRI,-4.1808743093346,0.385222719529239,3.56811024720668,0.563519426800866
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Qatar,QAT,-3.55760399909477,1.62684672468288,4.18500971344966,1.18715991184813
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Romania,ROU,-3.67438440910189,5.5457096259051,3.96530766311717,2.40427177912809
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,-2.65365450102773,5.61429037578345,-2.06971152527731,3.60000000000001
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Rwanda,RWA,-3.37368746369782,10.8579677614975,8.15773308481241,8.24128769450616
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Samoa,WSM,-3.10844401053139,-7.07883094291508,-5.30629089966979,8.58409121817338
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,San Marino,SMR,-6.64791081780605,13.8977895076234,7.89844145767604,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sao Tome and Principe,STP,2.62485949543812,1.89929891337832,0.168698492216564,0.372252775001456
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Saudi Arabia,SAU,-3.58153486307663,5.07511034987979,7.48598429134137,-0.754914810584665
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Senegal,SEN,1.3420737726679,6.54400109964304,3.82586363675534,4.58406140454957
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Serbia,SRB,-0.950023991851594,7.94905650472278,2.63098644408841,3.84747112784942
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Seychelles,SYC,-11.7398608281732,0.552281631207279,14.9768513322959,3.16171435490999
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sierra Leone,SLE,-1.2533490322766,5.8968527047094,5.3135546141915,5.7100218981806
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Singapore,SGP,-3.86979893430043,9.69076687082064,3.83807678519807,1.07503175095101
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sint Maarten (Dutch part),SXM,-13.3167887221567,4.57759677933345,9.80000111145777,3.8
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovak Republic,SVK,-2.5855125291319,5.72698854011892,0.449673875081572,1.37833727209444
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovenia,SVN,-4.08499815297814,8.38965032094461,2.69923755687375,2.11259184318999
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Solomon Islands,SLB,-3.3811475409836,2.56434975416948,2.40248143622522,3.07976981501386
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Somalia,SOM,-2.75248103927831,3.45822792939802,2.72711429582988,4.21638432609835
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,-6.1689177146757,4.95503259440756,1.91147996033504,0.698485194788034
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Sudan,SSD,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Spain,ESP,-10.9400706591866,6.6831441850028,6.17931222572963,2.67566349258229
